,Cluster,timestamp
0,0,2016-09-28
1,0,2016-09-29
2,0,2016-09-30
3,0,2016-10-14
4,0,2016-10-18
5,0,2016-10-20
6,0,2016-11-10
7,0,2016-11-11
8,0,2016-11-14
9,0,2016-11-15
10,0,2016-12-02
11,0,2016-12-13
12,1,2016-12-28
13,1,2016-12-29
14,1,2017-01-25
15,0,2017-01-31
16,0,2017-02-08
17,0,2017-02-09
18,0,2017-02-23
19,0,2017-02-27
20,0,2017-03-06
21,0,2017-03-10
22,0,2017-03-13
23,0,2017-03-14
24,0,2017-03-15
25,0,2017-03-16
26,0,2017-03-23
27,0,2017-03-24
28,0,2017-03-28
29,0,2017-04-04
30,0,2017-04-10
31,0,2017-04-11
32,0,2017-04-13
33,0,2017-04-19
34,1,2017-04-24
35,0,2017-04-25
36,0,2017-05-01
37,0,2017-05-03
38,0,2017-05-05
39,0,2017-05-08
40,0,2017-05-09
41,0,2017-05-10
42,1,2017-05-11
43,0,2017-05-12
44,0,2017-05-24
45,0,2017-05-25
46,0,2017-05-31
47,0,2017-06-02
48,0,2017-06-05
49,0,2017-06-06
50,0,2017-06-08
51,0,2017-06-09
52,0,2017-06-12
53,1,2017-06-13
54,0,2017-06-14
55,0,2017-06-15
56,0,2017-06-16
57,0,2017-06-21
58,0,2017-06-27
59,0,2017-06-28
60,0,2017-06-30
61,0,2017-07-03
62,0,2017-07-05
63,0,2017-07-10
64,0,2017-07-12
65,0,2017-07-13
66,1,2017-07-20
67,0,2017-07-25
68,0,2017-07-27
69,0,2017-07-28
70,0,2017-07-31
71,0,2017-08-01
72,1,2017-08-03
73,1,2017-08-04
74,1,2017-08-07
75,0,2017-08-08
76,1,2017-08-09
77,0,2017-08-10
78,0,2017-08-11
79,0,2017-08-14
80,0,2017-08-15
81,1,2017-08-18
82,0,2017-08-22
83,0,2017-08-24
84,1,2017-08-25
85,0,2017-08-30
86,0,2017-08-31
87,0,2017-09-07
88,0,2017-09-13
89,0,2017-09-15
90,0,2017-09-18
91,0,2017-09-20
92,0,2017-09-21
93,0,2017-09-22
94,0,2017-09-26
95,0,2017-09-27
96,0,2017-09-28
97,0,2017-09-29
98,1,2017-10-02
99,0,2017-10-04
100,0,2017-10-09
101,0,2017-10-10
102,0,2017-10-13
103,1,2017-10-16
104,0,2017-10-17
105,0,2017-10-23
106,1,2017-10-24
107,0,2017-10-26
108,0,2017-10-31
109,1,2017-11-03
110,0,2017-11-06
111,0,2017-11-08
112,0,2017-11-09
113,0,2017-11-10
114,0,2017-11-13
115,0,2017-11-14
116,1,2017-11-15
117,0,2017-11-27
118,0,2017-11-28
119,0,2017-11-29
120,1,2017-12-01
121,0,2017-12-04
122,0,2017-12-08
123,1,2017-12-13
124,0,2017-12-15
125,0,2017-12-18
126,1,2017-12-22
127,0,2017-12-27
128,0,2018-01-08
129,0,2018-01-10
130,1,2018-01-11
131,1,2018-01-25
132,1,2018-01-30
133,1,2018-02-02
134,0,2018-02-05
135,0,2018-02-06
136,0,2018-02-08
137,0,2018-02-09
138,1,2018-02-12
139,1,2018-02-28
140,0,2018-03-01
141,0,2018-03-12
142,0,2018-03-13
143,1,2018-03-14
144,0,2018-03-19
145,1,2018-03-26
146,0,2018-03-27
147,0,2018-03-28
148,1,2018-03-29
149,1,2018-04-09
150,0,2018-04-10
151,1,2018-04-13
152,1,2018-04-16
153,1,2018-04-19
154,1,2018-05-01
155,0,2018-05-02
156,0,2018-05-10
157,0,2018-05-11
158,1,2018-05-18
159,1,2018-05-24
160,0,2018-05-30
161,0,2018-06-04
162,1,2018-06-14
163,1,2018-06-25
164,0,2018-07-11
165,0,2018-07-13
166,1,2018-07-19
167,0,2018-08-14
168,1,2018-08-15
169,0,2018-08-16
170,0,2018-08-17
171,0,2018-08-20
172,0,2018-08-21
173,0,2018-08-23
174,0,2018-09-10
175,0,2018-09-13
176,1,2018-09-14
177,0,2018-09-20
178,0,2018-10-01
179,0,2018-10-03
180,0,2018-10-10
181,1,2018-10-23
182,1,2018-11-01
183,0,2018-11-12
184,1,2018-11-14
185,0,2018-11-15
186,0,2018-11-16
187,0,2018-11-20
188,0,2018-11-21
189,1,2018-11-26
190,0,2018-11-28
191,0,2018-12-03
192,0,2018-12-04
193,0,2018-12-11
194,0,2018-12-12
195,0,2018-12-27
196,0,2019-01-03
197,0,2019-01-04
198,0,2019-01-07
199,0,2019-01-08
200,0,2019-01-09
201,0,2019-01-10
202,0,2019-01-11
203,1,2019-01-25
204,0,2019-01-28
205,0,2019-01-29
206,0,2019-01-31
207,0,2019-02-04
208,1,2019-02-13
209,0,2019-02-14
210,0,2019-02-15
211,0,2019-02-22
212,1,2019-03-05
213,0,2019-03-11
214,0,2019-03-12
215,0,2019-03-18
216,0,2019-03-19
217,1,2019-03-20
218,0,2019-03-26
219,1,2019-04-01
220,1,2019-04-03
221,0,2019-04-08
222,0,2019-04-10
223,0,2019-04-23
224,1,2019-05-02
225,0,2019-05-07
226,0,2019-05-08
227,0,2019-05-09
228,1,2019-05-10
229,1,2019-05-15
230,0,2019-05-16
231,0,2019-05-17
232,1,2019-05-22
233,1,2019-05-28
234,1,2019-06-04
235,0,2019-06-05
236,1,2019-06-06
237,1,2019-06-07
238,0,2019-06-10
239,0,2019-06-11
240,0,2019-06-12
241,1,2019-06-13
242,0,2019-06-14
243,0,2019-06-17
244,0,2019-06-18
245,0,2019-06-19
246,0,2019-06-20
247,0,2019-06-21
248,0,2019-06-24
249,0,2019-06-25
250,0,2019-06-26
251,0,2019-06-27
252,0,2019-06-28
253,0,2019-07-01
254,0,2019-07-02
255,0,2019-07-03
256,0,2019-07-05
257,0,2019-07-08
258,0,2019-07-09
259,0,2019-07-10
260,0,2019-07-11
261,1,2019-07-12
262,0,2019-07-15
263,1,2019-07-16
264,0,2019-07-18
265,0,2019-07-19
266,0,2019-07-22
267,0,2019-07-23
268,0,2019-07-24
269,0,2019-07-25
270,0,2019-07-26
271,0,2019-07-29
272,0,2019-07-30
273,0,2019-07-31
274,0,2019-08-01
275,1,2019-08-02
276,0,2019-08-05
277,1,2019-08-06
278,0,2019-08-07
279,1,2019-08-08
280,0,2019-08-09
281,0,2019-08-12
282,0,2019-08-13
283,0,2019-08-14
284,0,2019-08-15
285,0,2019-08-16
286,0,2019-08-19
287,0,2019-08-21
288,0,2019-08-22
289,0,2019-08-23
290,0,2019-08-26
291,0,2019-08-27
292,0,2019-08-28
293,0,2019-08-29
294,0,2019-08-30
295,0,2019-09-03
296,1,2019-09-04
297,0,2019-09-05
298,0,2019-09-06
299,0,2019-09-09
300,0,2019-09-10
301,1,2019-09-11
302,0,2019-09-12
303,1,2019-09-13
304,0,2019-09-17
305,0,2019-09-18
306,0,2019-09-19
307,0,2019-09-20
308,0,2019-09-23
309,0,2019-09-24
310,0,2019-09-25
311,0,2019-09-26
312,0,2019-09-27
313,0,2019-09-30
314,1,2019-10-01
315,0,2019-10-02
316,1,2019-10-03
317,0,2019-10-04
318,0,2019-10-07
319,0,2019-10-08
320,0,2019-10-09
321,0,2019-10-10
322,0,2019-10-11
323,0,2019-10-14
324,0,2019-10-15
325,0,2019-10-16
326,0,2019-10-17
327,0,2019-10-18
328,0,2019-10-21
329,0,2019-10-22
330,0,2019-10-23
331,0,2019-10-25
332,0,2019-10-28
333,0,2019-10-29
334,0,2019-10-30
335,0,2019-10-31
336,0,2019-11-01
337,0,2019-11-04
338,0,2019-11-05
339,0,2019-11-06
340,0,2019-11-07
341,0,2019-11-08
342,0,2019-11-11
343,0,2019-11-12
344,1,2019-11-13
345,0,2019-11-14
346,0,2019-11-15
347,0,2019-11-18
348,0,2019-11-19
349,1,2019-11-20
350,0,2019-11-21
351,0,2019-11-22
352,0,2019-11-25
353,0,2019-11-26
354,1,2019-11-27
355,0,2019-12-02
356,1,2019-12-03
357,0,2019-12-04
358,1,2019-12-05
359,0,2019-12-06
360,1,2019-12-09
361,0,2019-12-10
362,0,2019-12-11
363,1,2019-12-12
364,0,2019-12-13
365,0,2019-12-16
366,0,2019-12-17
367,0,2019-12-18
368,0,2019-12-19
369,0,2019-12-20
370,0,2019-12-23
371,0,2019-12-27
372,1,2019-12-30
373,1,2019-12-31
374,0,2020-01-02
375,0,2020-01-03
376,0,2020-01-06
377,0,2020-01-07
378,0,2020-01-08
379,0,2020-01-09
380,0,2020-01-10
381,0,2020-01-13
382,0,2020-01-14
383,0,2020-01-15
384,0,2020-01-16
385,0,2020-01-17
386,0,2020-01-21
387,0,2020-01-23
388,0,2020-01-24
389,1,2020-01-27
390,0,2020-01-28
391,0,2020-01-29
392,1,2020-01-30
393,1,2020-01-31
394,1,2020-02-03
395,0,2020-02-04
396,0,2020-02-05
397,1,2020-02-06
398,0,2020-02-07
399,0,2020-02-10
400,0,2020-02-11
401,0,2020-02-12
402,0,2020-02-13
403,0,2020-02-14
404,0,2020-02-18
405,0,2020-02-19
406,0,2020-02-20
407,1,2020-02-21
408,0,2020-02-24
409,0,2020-02-25
410,0,2020-02-26
411,0,2020-02-27
412,0,2020-02-28
413,0,2020-03-02
414,0,2020-03-03
415,0,2020-03-04
416,1,2020-03-05
417,1,2020-03-06
418,0,2020-03-09
419,0,2020-03-10
420,0,2020-03-11
421,0,2020-03-12
422,1,2020-03-13
423,0,2020-03-16
424,0,2020-03-17
425,0,2020-03-18
426,0,2020-03-19
427,0,2020-03-20
428,0,2020-03-23
429,0,2020-03-24
430,0,2020-03-25
431,0,2020-03-26
432,1,2020-03-30
433,1,2020-03-31
434,1,2020-04-01
435,0,2020-04-02
436,1,2020-04-03
437,0,2020-04-06
438,1,2020-04-07
439,0,2020-04-08
440,1,2020-04-09
441,0,2020-04-13
442,0,2020-04-14
443,0,2020-04-15
444,0,2020-04-16
445,0,2020-04-17
446,1,2020-04-20
447,0,2020-04-21
448,1,2020-04-22
449,0,2020-04-23
450,0,2020-04-24
451,0,2020-04-27
452,0,2020-04-29
453,0,2020-04-30
454,0,2020-05-04
455,0,2020-05-06
456,0,2020-05-08
457,0,2020-05-11
458,1,2020-05-12
459,0,2020-05-13
460,0,2020-05-14
461,0,2020-05-15
462,0,2020-05-18
463,0,2020-05-20
464,0,2020-05-21
465,0,2020-05-22
466,0,2020-05-26
467,0,2020-05-27
468,0,2020-05-28
469,0,2020-05-29
470,0,2020-06-01
471,1,2020-06-02
472,0,2020-06-03
473,0,2020-06-04
474,1,2020-06-05
475,1,2020-06-08
476,1,2020-06-09
477,0,2020-06-10
478,0,2020-06-11
479,1,2020-06-12
480,0,2020-06-15
481,0,2020-06-16
482,0,2020-06-17
483,0,2020-06-18
484,1,2020-06-19
485,0,2020-06-22
486,0,2020-06-23
487,0,2020-06-24
488,0,2020-06-25
489,1,2020-06-26
490,1,2020-06-29
491,0,2020-06-30
492,0,2020-07-01
493,0,2020-07-02
494,1,2020-07-06
495,1,2020-07-07
496,0,2020-07-08
497,1,2020-07-09
498,0,2020-07-10
499,0,2020-07-13
500,1,2020-07-14
501,0,2020-07-16
502,0,2020-07-20
503,0,2020-07-21
504,0,2020-07-22
505,0,2020-07-23
506,0,2020-07-24
507,1,2020-07-27
508,0,2020-07-28
509,0,2020-07-29
510,0,2020-07-30
511,0,2020-07-31
512,0,2020-08-03
513,0,2020-08-04
514,0,2020-08-05
515,1,2020-08-06
516,0,2020-08-07
517,1,2020-08-10
518,0,2020-08-11
519,1,2020-08-12
520,0,2020-08-13
521,0,2020-08-14
522,0,2020-08-17
523,0,2020-08-18
524,0,2020-08-19
525,0,2020-08-20
526,0,2020-08-21
527,0,2020-08-24
528,0,2020-08-25
529,0,2020-08-26
530,1,2020-08-27
531,0,2020-08-28
532,0,2020-08-31
533,0,2020-09-01
534,0,2020-09-02
535,0,2020-09-03
536,1,2020-09-04
537,1,2020-09-08
538,0,2020-09-09
539,0,2020-09-10
540,1,2020-09-11
541,0,2020-09-14
542,0,2020-09-15
543,0,2020-09-16
544,1,2020-09-17
545,0,2020-09-21
546,0,2020-09-22
547,0,2020-09-23
548,0,2020-09-24
549,1,2020-09-25
550,1,2020-09-28
551,1,2020-09-29
552,0,2020-09-30
553,0,2020-10-01
554,0,2020-10-02
555,0,2020-10-05
556,0,2020-10-06
557,0,2020-10-07
558,0,2020-10-08
559,0,2020-10-09
560,1,2020-10-12
561,1,2020-10-13
562,0,2020-10-14
563,0,2020-10-15
564,1,2020-10-16
565,0,2020-10-19
566,0,2020-10-20
567,0,2020-10-21
568,1,2020-10-22
569,0,2020-10-23
570,0,2020-10-26
571,0,2020-10-27
572,1,2020-10-28
573,0,2020-10-29
574,1,2020-11-03
575,1,2020-11-04
576,1,2020-11-05
577,0,2020-11-06
578,0,2020-11-09
579,0,2020-11-10
580,1,2020-11-11
581,0,2020-11-12
582,1,2020-11-13
583,0,2020-11-16
584,0,2020-11-17
585,0,2020-11-18
586,0,2020-11-19
587,1,2020-11-23
588,0,2020-11-24
589,1,2020-11-25
590,0,2020-11-30
591,0,2020-12-01
592,0,2020-12-02
593,1,2020-12-03
594,1,2020-12-04
595,0,2020-12-07
596,0,2020-12-08
597,0,2020-12-09
598,0,2020-12-10
599,0,2020-12-11
600,0,2020-12-14
601,0,2020-12-15
602,0,2020-12-17
603,1,2020-12-18
604,0,2020-12-21
605,0,2020-12-22
606,0,2020-12-23
607,0,2020-12-28
608,0,2020-12-29
609,1,2020-12-30
610,0,2020-12-31
611,1,2021-01-04
612,1,2021-01-05
613,0,2021-01-06
614,0,2021-01-07
615,1,2021-01-08
616,0,2021-01-11
617,0,2021-01-12
618,0,2021-01-13
619,0,2021-01-14
620,0,2021-01-15
621,1,2021-01-19
622,1,2021-01-20
623,0,2021-01-21
624,0,2021-01-22
625,1,2021-01-25
626,0,2021-01-26
627,1,2021-01-28
628,0,2021-01-29
629,0,2021-02-03
630,1,2021-02-04
631,0,2021-02-08
632,1,2021-02-09
633,1,2021-02-11
634,0,2021-02-12
635,0,2021-02-16
636,0,2021-02-17
637,0,2021-02-18
638,0,2021-02-19
639,1,2021-02-22
640,0,2021-02-23
641,0,2021-02-24
642,0,2021-02-25
643,0,2021-02-26
644,0,2021-03-01
645,1,2021-03-02
646,0,2021-03-03
647,0,2021-03-08
648,0,2021-03-09
649,0,2021-03-10
650,0,2021-03-11
651,0,2021-03-12
652,0,2021-03-15
653,1,2021-03-16
654,1,2021-03-18
655,0,2021-03-23
656,1,2021-03-24
657,1,2021-03-25
658,1,2021-03-26
659,1,2021-03-29
660,1,2021-03-30
661,1,2021-04-01
662,0,2021-04-06
663,1,2021-04-07
664,0,2021-04-09
665,0,2021-04-12
666,0,2021-04-13
667,1,2021-04-14
668,0,2021-04-15
669,1,2021-04-16
670,0,2021-04-19
671,1,2021-04-20
672,0,2021-04-21
673,0,2021-04-22
674,1,2021-04-23
675,1,2021-04-26
676,0,2021-04-27
677,0,2021-04-28
678,1,2021-04-29
679,0,2021-04-30
680,0,2021-05-03
681,0,2021-05-05
682,0,2021-05-06
683,0,2021-05-07
684,1,2021-05-10
685,0,2021-05-11
686,0,2021-05-12
687,0,2021-05-14
688,0,2021-05-17
689,0,2021-05-18
690,1,2021-05-19
691,0,2021-05-20
692,0,2021-05-21
693,0,2021-05-24
694,0,2021-05-25
695,0,2021-05-26
696,0,2021-05-27
697,0,2021-05-28
698,0,2021-06-01
699,1,2021-06-02
700,0,2021-06-03
701,0,2021-06-04
702,1,2021-06-07
703,0,2021-06-08
704,1,2021-06-09
705,0,2021-06-11
706,0,2021-06-14
707,0,2021-06-15
708,0,2021-06-17
709,0,2021-06-18
710,0,2021-06-21
711,0,2021-06-22
712,0,2021-06-23
713,0,2021-06-24
714,0,2021-06-25
715,0,2021-06-28
716,1,2021-06-29
717,1,2021-06-30
718,0,2021-07-01
719,0,2021-07-02
720,0,2021-07-06
721,0,2021-07-07
722,0,2021-07-08
723,0,2021-07-09
724,1,2021-07-12
725,0,2021-07-14
726,0,2021-07-15
727,0,2021-07-16
728,0,2021-07-19
729,0,2021-07-20
730,1,2021-07-21
731,0,2021-07-22
732,0,2021-07-23
733,0,2021-07-26
734,0,2021-07-27
735,1,2021-07-28
736,0,2021-07-29
737,0,2021-07-30
738,0,2021-08-02
739,0,2021-08-03
740,0,2021-08-04
741,0,2021-08-05
742,0,2021-08-06
743,1,2021-08-09
744,0,2021-08-10
745,0,2021-08-11
746,0,2021-08-12
747,0,2021-08-13
748,0,2021-08-16
749,0,2021-08-17
750,0,2021-08-18
751,0,2021-08-19
752,0,2021-08-20
753,0,2021-08-23
754,0,2021-08-24
755,0,2021-08-25
756,1,2021-08-26
757,0,2021-08-27
758,0,2021-08-30
759,1,2021-08-31
760,1,2021-09-01
761,0,2021-09-02
762,0,2021-09-03
763,1,2021-09-07
764,0,2021-09-08
765,0,2021-09-09
766,0,2021-09-10
767,0,2021-09-13
768,0,2021-09-14
769,1,2021-09-15
770,0,2021-09-16
771,0,2021-09-17
772,0,2021-09-20
